date,registration,fatalities,summary,all_aboard,cat,location,Country,Cleaned Country
1986-01-28,ppsme,1,The crew accidently tried to take off from a taxiway. The takeoff was aborted but the aircraft overran the runway and collided with a embankment and broke in two. There was heavy fog in the area.,72,A1,SÃ£o Paulo-Guaru...,SÃ£o Paulo-Guaru...,SÃ£o Paulo-Guaru...
1986-01-29,xaior,21,The plane tried to land at Los Mochis but had to divert to Las Lomitas because of fog. The airport was not approved for commercial flights and the plane crashed into a hill near the airport while attempting to land.,21,A1,Las Lomitas,Las Lomitas,Las Lomitas
1986-02-05,9qcwt,2,The cargo plane crashed while attempting to make a forced landing.,14,A1,near Kasongo,near Kasongo,near Kasongo
1986-02-16,b1870,13,The aircraft crashed into the sea during an attempted go-around after a missed landing attempt due to a burst nose gear tire.,13,A1,near Magong Airport (...,near Magong Airport (...,near Magong Airport (...
1986-03-02,cccp46423,38,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather.",38,A1,near Bugulma Airport ...,near Bugulma Airport ...,near Bugulma Airport ...
1986-03-13,n1356p,3,"After a missed approach due to bad weather, the plane was cleared for an ILS approach but crashed in a wooded area, short of the runway. The flight crew's continued descent of the airplane below the glideslope and through the published decision height without obtaining visual reference of the runway for undetermined reasons.",9,A1,near Alpena County Re...,near Alpena County Re...,near Alpena County Re...
1986-03-20,pkncf,2,"Crashed into high ground at 1, 900 ft. while flying IFR in rain.",16,A1,near Naha,near Naha,near Naha
1986-03-24,cfagm,4,"A fatigue initiated crack in the number nine cylinder head caused the engine to run rough and lose power. While the pilot was manoeuvring for the precautionary landing in whiteout conditions, the aircraft crashed. At impact, the fuel cells ruptured, and a fire erupted which destroyed the aircraft.",5,A1,"near Goose Bay, NL",NL,NL
1986-03-25,cccp11795,9,"The cargo plane descended below minima weather conditions, undershot the runway, overturned and caught fire.",9,A1,near Omsk Severny Air...,near Omsk Severny Air...,near Omsk Severny Air...
1986-03-31,xamem,167,"While climbing through 29,000 feet, an overheated tire exploded in the wheel well after takeoff and damaged the hydraulic and electrical systems of the aircraft. The plane lost control and crashed. The tire had been serviced with air rather than nitrogen. The air, under high temperature and pressure, resulted in a chemical reaction within the tire itself which led to a explosion of the tire.",167,A1,Las Mesas,Las Mesas,Las Mesas
1986-04-02,n54340,4,Detonation of a explosive device in the passenger compartment causing four passengers to be sucked out.  The plane landed safely at Athens. The plastic explosive was left under a seat by a woman carrying a Lebanese passport.,121,C2,near Argos,near Argos,near Argos
1986-04-02,660211,11,Lost a wing in heavy turbulence at low altitude.,11,A1,"Magdalena, NM",NM,NM
1986-04-27,hk2761,13,"Crashed into a 8,500 ft. mountain in poor weather.",13,A1,near Tame,near Tame,near Tame
1986-05-01,fas302,37,Crashed into a hill following an engine fire.,37,A1,near San Salvador/Ilo...,near San Salvador/Ilo...,near San Salvador/Ilo...
1986-05-18,19,19,Crashed in the vicinity of Day Mountain in heavy rain and low clouds.,19,A1,near Djibouti,near Djibouti,near Djibouti
1986-06-10,sugad,23,Crashed short of runway and collided with a building during a sandstorm.,26,A1,near Cairo Internatio...,near Cairo Internatio...,near Cairo Internatio...
1986-06-12,gbgpc,1,The crew mistook Laphroaig for Port Ellen and crashed into a hill. Decision to allow the handling pilot to carry out a visual approach in unsuitable meteorological conditions. An error in visual navigation was a contributory factor.,16,A1,"near Laphroaig, Isle ...",Isle ...,Isle ...
1986-07-02,cccp65120,54,The aircraft crashed in a forest after an in-flight fire caused by baggage that ignited in the rear cargo hold led to loss of contol of the aircraft.,92,A1,Kopsa,Kopsa,Kopsa
1986-07-10,7312,17,Crashed during takeoff.,17,A1,Chimoio Airport ...,Chimoio Airport ...,Chimoio Airport ...
1986-08-04,v2lcj,13,Crashed into the sea in poor weather conditions.,13,A1,near Saint Vincent-Ar...,near Saint Vincent-Ar...,near Saint Vincent-Ar...
1986-08-16,stady,60,Shot down by SPLA rebels with surface-to-air missiles shortly after takeoff.,60,C1,near Malakal,near Malakal,near Malakal
1986-08-28,n252k,2,"On takeoff the cargo plane pitched up, rolled inverted and crashed. Improperly loaded. Alcohol impairment of the pilot and co-pilot.",2,A1,Texarkana Munici...,Texarkana Munici...,Texarkana Munici...
1986-09-09,560468,3,Overran the runway and crashed.,4,A1,Hopkinsville-For...,Hopkinsville-For...,Hopkinsville-For...
1986-09-19,n219as,5,"On a delivery flight the aircraft struck a cloud covered mountain at 4,300 ft. Crew did not follow the prescribed course.",5,A1,"near Mantiqueira, SP",SP,SP
1986-10-03,pkesc,13,"While approaching Manado-Sam Ratulangi Airport, the crew encountered marginal weather conditions and failed to realize their altitude was insufficient to clear the slope of Mt Takawirang, located few km from the airport. The aircraft struck to mountain and was destroyed upon impact.",13,A1,near Manado,near Manado,near Manado
1986-10-04,n15st,3,"The cargo plane lost altitude and crashed inverted. The use by the carrier of a non-approved device designed to raise the elevator during loading operations which was not properly stowed by the flight crew and which lodged in the controls, preventing the flight crew from controlling the airplane during take-off.",3,A1,San Antonio-Kell...,San Antonio-Kell...,San Antonio-Kell...
1986-10-14,cccp67264,14,Crashed into river on takeoff.,14,A1,near Ust-Maya Airport,near Ust-Maya Airport,near Ust-Maya Airport
1986-10-15,epirg,3,Shiraz Airport was attacked by Iraqi aircraft. Passengers were deplaning at the time of the attack.,80,C1,Shiraz Airport (...,Shiraz Airport (...,Shiraz Airport (...
1986-10-19,c9caa,34,"Crashed in the Lembombo mountains during a storm. President Samora Machel, president of Mozambique, killed. The aircraft descended below minima even though the crew did not have visual contact with Maputo. A GPWS warning was ignored and the plane hit high ground crashing onto a uphill slope. Navigational error. GPSW ignored. There is speculation that the plane was lured away from the correct flight path by a pirate radio beacon broadcasting on the same frequency as the Maputo Airport, disorienting the pilot.",44,A1,near Komatipoort,near Komatipoort,near Komatipoort
1986-10-20,cccp65766,70,"The plane made a hard landing, crashed and burst into flames after a straight-in hard landing without leveling off.",93,A1,Kuybyshev Airpor...,Kuybyshev Airpor...,Kuybyshev Airpor...
1986-10-23,apaux,13,"Crashed short of the runway on approach, broke up and landed inverted. Crew error. The aircraft was allowed to descent below MDA. Crew did not properly monitor the altitude.",54,A1,near Peshawar Airport...,near Peshawar Airport...,near Peshawar Airport...
1986-12-12,cccp65795,72,The aircraft crashed after landing on the wrong runway in fog. The crew did not understand the English instructions that the right runway was closed for repairs.,82,A1,near Berlin-SchÃ¶nefe...,near Berlin-SchÃ¶nefe...,near Berlin-SchÃ¶nefe...
1986-12-15,b3413,6,"The No. 2 engine failed due to severe icing conditions 30 minutes after leaving Lanzhou. With the prop feathered, the plane crashed before reaching the airport.",44,A1,Lanzhou-Zhongchu...,Lanzhou-Zhongchu...,Lanzhou-Zhongchu...
1986-12-25,yiagj,63,"Hijacking.  While on a flight from Baghdad to Amman, hijackers exploded a hand grenade in the passenger cabin. While making an emergency descent a second hand grenade exploded in the cockpit causing the plane to lose control crash, break in two and catch fire.",106,H1,near Arar,near Arar,near Arar
1986-12-27,dqfef,11,The aircraft banked ninety degrees and crashed short of the runway. Loss of control due to mechanical failure. Use of a unsecured nonstandard flap attachment pin.,14,A1,near Nadi Internation...,near Nadi Internation...,near Nadi Internation...
1987-01-03,ppvjk,50,The plane crashed in the jungle while returning to Abidjan after taking off with the No. 1 engine on fire.,51,A1,near Abidjan-Felix Ho...,near Abidjan-Felix Ho...,near Abidjan-Felix Ho...
1987-01-16,cccp87618,9,"While taking off, the aircraft banked sharply to the left and crashed. Encounted a wake vortex from another aircraft.",9,A1,Tashkent-Yuzhny ...,Tashkent-Yuzhny ...,Tashkent-Yuzhny ...
1987-02-06,p2rdm,14,Ditched into the sea in poor weather conditions.,17,A1,near eastern coast,near eastern coast,near eastern coast
1987-03-04,n160fb,9,"While approaching to land the plane suddenly yawed to the left, rolled right and struck ground left of the runway. It then skidded into 3 ground vehicles and caught fire. The captain's inability to control the airplane in an attempt to recover from an asymmetric power condition at low speed following his intentional use of the beta mode of propeller operation to descend and slow the airplane rapidly on final approach for landing. The fatalities were attributed to a post crash fire, lack of fire-blocking material, and poorly designed aircraft components. Improper use of powerplant controls. Improper maintenance adjustment.",22,A1,Detroit-Metropol...,Detroit-Metropol...,Detroit-Metropol...
1987-03-06,cccp26007,9,The cargo plane struck the side of a mountain while setting up for the approach. The ATC didn't monitor the plane for at least  2 minutes after observing the plane taking a wrong course. When the ATC tried to contact the plane to tell them of the mistake the crew never responded because communications in the vicinity of the mountain blocked the signal.,9,A1,near Alma-Ata,near Alma-Ata,near Alma-Ata
1987-04-13,n144sp,4,The cargo plane flew into the ground short of the runway despite warnings from the controller. Improper IFR procedure. Disregarded decision height. Disregarded warnings.,4,A1,near Kansas City Inte...,near Kansas City Inte...,near Kansas City Inte...
1987-04-23,n505lb,2,The cargo plane lost the No. 2 engine while taking off and crashed into trees and caught fire. Poor in-flight planning. Emergency procedures not followed. The right engine did not have the latest welding process and failed causing a uncontained turbine failure.,2,A1,Wilmington-New H...,Wilmington-New H...,Wilmington-New H...
1987-05-08,n432ca,2,Improper maintenance in setting propeller flight idle blade angle and engine fuel flow resulting in a loss of control from an asymmetric power condition. A factor contributing to the accident was the pilot's unstabilized visual approach.,6,A1,near MayagÃ¼ez Airpor...,near MayagÃ¼ez Airpor...,near MayagÃ¼ez Airpor...
1987-05-09,splbg,183,"The No. 2 engine failed, causing an engine fire, cabin decompression, damage to the  No. 1 engine, loss of  elevator control and damage to the electrical system. A fire in the cargo hold was not detected because of damage to the fire warning system. While attempting to return to Warsaw and attempting a turn to land, the aircraft crashed into a forest, 9 miles short of the runway. The cause of the engine failure was an overheated bearing. The aircraft was named Tadeusz Kosciuszko.",183,A1,near Warszawa-Okecie ...,near Warszawa-Okecie ...,near Warszawa-Okecie ...
1987-05-11,cfadd,2,The cargo plane lost the left wing while in a holding pattern. The left wing failed under normal flight loads as a result of a fatigue crack in the center section lower wing skin. Anomalies in the radiographs taken during mandatory non-destructive testing inspections were not correctly interpreted.,2,A1,"near Pickle Lake, ON",ON,ON
1987-05-23,pknuw,8,Crashed into a ditch while attempting to land at Ruteng.,8,A1,near Ruteng,near Ruteng,near Ruteng
1987-05-25,pkmam,7,Crashed into a ravine while attempting to land.,30,A1,near Ilaga Airport (ILA),near Ilaga Airport (ILA),near Ilaga Airport (ILA)
1987-06-11,yabal,53,Shot down by rebel forces with a surface-to-air missile.,53,C1,near Khost,near Khost,near Khost
1987-06-19,cccp87826,8,"The aircraft landed at a high rate of speed and a go-around was initiated but then aborted. The aircraft overran the runway, crashed into trees and caught fire.",29,A1,Berdyansk Airpor...,Berdyansk Airpor...,Berdyansk Airpor...
1987-06-21,xyadp,45,"Crashed into mountains at 8,200 ft. 20 minutes after leaving Heho.",45,A1,near Hopong,near Hopong,near Hopong
1987-06-26,rpc1015,50,The aircraft crashed into Mt. Ugu in monsoon rains and heavy fog while preparing to land at Baguio.,50,A1,near Baguio-Loakan Ai...,near Baguio-Loakan Ai...,near Baguio-Loakan Ai...
1987-08-31,hstbc,83,The aircraft stalled and crashed into the ocean after the crew's attention was diverted to concern over another aircraft. Failure of the crew to monitor their airspeed. The pilot added power and raised the gear after the stick shaker activated but did not execute a recovery before hitting the sea.,83,A1,near Phuket Internati...,near Phuket Internati...,near Phuket Internati...
1987-09-21,subca,5,"The plane landed too far down the runway, overran the runway, struck runway lights went through a fence and broke up.",5,A1,Luxor Airport (LXR),Luxor Airport (LXR),Luxor Airport (LXR)
1987-10-11,hk2920,2,The aircraft crashed while attempting to make an emergency landing.,9,A1,El Poleo,El Poleo,El Poleo
1987-10-11,xyael,49,"The aircraft crashed into a ridge at 1, 500 ft. in heavy rain while attempting to land at Nyaung-U Airport .",49,A1,near Pa-An,near Pa-An,near Pa-An
1987-10-15,iatrh,37,"Shortly after taking off from Milan and passing through FL147, the aircraft nosed down and crashed into a mountain, in icing conditions. Icing of the wings.",37,A1,Conca di Crezzo,Conca di Crezzo,Conca di Crezzo
1987-10-19,cccp12162,9,The plane overran the runway while attempting to take off crashed into a building and was destroyed.,9,A1,Komsomol'sk-na-A...,Komsomol'sk-na-A...,Komsomol'sk-na-A...
1987-11-06,7qymb,10,Shot down by rebels.,10,C1,near Ulongwe,near Ulongwe,near Ulongwe
1987-11-15,n626tx,28,"Crashed while taking off in a snowstorm. Failure to obtain taxi clearance, confused the ground controller when the plane reached the runway. The plane was not cleared to take off until 27 minutes after de-icing. During takeoff, the first officer overrotated and with the icing, the plane stalled, crashed, and overturned. Both captain and first officer were inexperienced in their respective jobs.",82,A1,Denver-Stapleton...,Denver-Stapleton...,Denver-Stapleton...
1987-11-23,n401ra,18,The aircraft crash landed 200 yards short of the runway while attempting to land at Homer Airport. Failure of the crew to supervise the loading of the aircraft which resulted in a shift of the center of gravity which caused the plane to lose control when the flaps were lowered for landing.,21,A1,"Homer Airport, A...",A...,A...
1987-11-28,zssas,159,"While over the Indian Ocean the crew contacted Mauritius approach control and reporting fire and smoke aboard. Three minutes after the last transmission the plane the plunged into the ocean 150 miles northeast of Mauritius. The fire caused incapacitation and disorientation of the crew, in-flight break-up and loss of control of the aircraft.  The fire originated in a front pallet on the right side in the upper deck cargo hold. The fire of unknown origin possibly (1) incapacitated the crew; (2) caused disorientation of the crew due to thick smoke; (3) caused crew distraction; (4) weakened the aircraft structure, causing an in-flight break-up; (5) burned through control cables or ; (6) caused loss of control due to deformation of the aircraft fuselage. It has been rumored that an unstable substance, not listed on the manifest, was illigally being shipped and started the fire though this has never been proven.",159,A1,near Mauritius,near Mauritius,near Mauritius
1987-11-29,hl7406,115,"The plane crashed while on a flight from Abu Dhabi to Bangkok. Detonation of an explosive device in the passenger cabin left by two passengers who exited  the plane at Abu Dhabi. A 75 year old man and Korean woman were arrested as they tried to use fake passports to fly to Rome. While under guard, the man bit into a cyanide capsule and died. The woman, a North Korean agent, confessed to the crime.",115,C1,"near Tavoy, Myanmar [...",Myanmar [...,Myanmar [...
1987-12-07,n350ps,43,"A fired USAir employee, David Burke, after leaving a goodbye message to friends, shot both pilots with a .44 Magnum pistol. While the aircraft was cruising at 22,000 feet over the central California coast, the cockpit crew heard two shots in the passenger cabin and radioed a frantic message to air traffic controllers: ""There’s gunfire aboard."" Moments later, the plane entered a high-speed nosedive and smashed onto the ground at 700 mph at 5,000 g's . Investigators sifting through the wreckage were able to retrieve the plane’s cockpit voice recorder, which subsequently revealed the sounds of a commotion in the cockpit, three more shots, the groan of the pilot or co-pilot, and then a final shot.",43,C1,"near Paso Robles, CA",CA,United States of America
1987-12-08,ae560,42,The plane was observed during a fly-by to check that the landing gear was down. After attempting another approach the aircraft crashed into the sea. All members of the Alianza Lima soccer team killed. The pilots' lack of experience flying at night and misreading the manual for procedures in emergency situations.,43,A1,near Lima-Jorge Chave...,near Lima-Jorge Chave...,near Lima-Jorge Chave...
1987-12-13,eibtj,15,"Crashed into Mt. Munay at 5,000 ft. while approaching Maria Cristina for landing.",15,A1,near Iligan Airport (...,near Iligan Airport (...,near Iligan Airport (...
1987-12-21,fgegh,16,Crashed short of the runway and struck trees in fog after being diverted due to the weather.,16,A1,near Bordeaux-MÃ©rign...,near Bordeaux-MÃ©rign...,near Bordeaux-MÃ©rign...
1987-12-30,pknuy,17,"Disappeared between Samarinda and Berau, Indonesia.",17,A1,near Samarinda,near Samarinda,near Samarinda
1988-01-02,dabhd,16,The aircraft was off the ILS sidebeam and crashed into a hill on approach in poor weather. The crew used the wrong VOR and ILS. Pilot overconfidence and co-pilot inactivity during the approach.,16,A1,near Seferihisar,near Seferihisar,near Seferihisar
1988-01-18,cp1244,9,Struck Mt. Colorado in poor weather.,9,A1,near La Paz,near La Paz,near La Paz
1988-01-18,cccp85254,11,Broke in two after a heavy landing. Crew error. Co-pilot was flying the plane against requirements that the pilot fly the plane.,143,A1,Krasnovodsk Airp...,Krasnovodsk Airp...,Krasnovodsk Airp...
1988-01-18,b222,108,The aircraft crashed 10 minutes before its scheduled landing. Fire in and failure of the No. 4 engine led to separation of the pylon and engine and loss of control of the aircraft. Overheating of the feathering oil. Poor maintenance procedures.,108,A1,near Chongqing Baishi...,near Chongqing Baishi...,near Chongqing Baishi...
1988-01-19,b11125,10,Crashed in mountains.,11,A1,near Green Island Air...,near Green Island Air...,near Green Island Air...
1988-01-24,cccp87549,27,"The plane stalled and crashed after a loss of engine power on takeoff. The engine throttles were reduced at  a critical stage of the takeoff for undetermined reasons, probably by the crew.",31,A1,near Nizhnevartovsk A...,near Nizhnevartovsk A...,near Nizhnevartovsk A...
1988-02-08,dcabb,21,The plane was struck by lightning and suffered a complete electrical failure after which the right wing broke off during an uncontrollable descent.,21,A1,near Kettwig,near Kettwig,near Kettwig
1988-02-19,n622av,12,"The plane crashed into a reservoir shortly after taking off in low visibility and ceiling. The failure of the flight crew to maintain a proper flight path because of the first officer's inappropriate instrument scan, the captain's inadequate monitoring of the flight, and the flight  and the flight crew's response to a perceived fault in the airplane's stall avoidance system.",12,A1,near Raleigh/Durham A...,near Raleigh/Durham A...,near Raleigh/Durham A...
1988-02-27,cccp65675,20,"The aircraft made a hard landing beside the runway, broke up and caught fire. Crew error. Visual contact with the runway was lost as the aircraft descended through the decision height.",51,A1,Surgut Airport (...,Surgut Airport (...,Surgut Airport (...
1988-02-27,tcakd,15,"Crashed into mountain 20 kms E of Kyrenia Turkey while on approach. Crew error. Pilot discontinued IFR approach and descended ignoring mountains ahead. Realizing his mistake, he tried to climb and turn left but struck the mountain.",15,A1,near Girne Arap,near Girne Arap,near Girne Arap
1988-03-01,zslgp,17,The aircraft crashed and burned 8 miles from Jan Smuts Airport while attemping to land. Detonation of a bomb consisting of nitro-glycerine and ammonium nitrate. A mineworker who heavily insured himself was thought to have committed suicide.,17,C1,"Germiston, c. 13...",c. 13...,c. 13...
1988-03-04,fgcps,23,Crashed after hitting power lines while making an approach to Orly. Electrical system failure.,23,A1,near Machault,near Machault,near Machault
1988-03-17,hk1716,143,"The aircraft struck a mountain at 6,200 feet after taking off in mist and haze. The crew took off under VFR conditions during adverse weather conditions. Inappropriate presence of a non-crew pilot in the cockpit and his great talkativeness distracting part of the crew which resulted in carelessness and disorientation in monitoring the heading and altitude necessary to maneuver the plane. VFR flight into IFR conditions.",143,A1,near CÃºcuta-Camilo D...,near CÃºcuta-Camilo D...,near CÃºcuta-Camilo D...
1988-03-31,5narh,4,During a second attempt to take off an engine on the cargo plane failed causing the plane to crash at the end of the runway.,4,A1,Cairo Internatio...,Cairo Internatio...,Cairo Internatio...
1988-04-12,zsuas,24,The plane crashed after fire broke out at FL90 and an emergency descent was made. A leak at the right booster pump was the source of the fire.,24,A1,near Hennenman,near Hennenman,near Hennenman
1988-04-19,cccp67518,17,Crashed into a mountain during descent  in poor weather.,17,A1,near Bagdarin,near Bagdarin,near Bagdarin
1988-04-28,n73711,1,"The aircraft suffered separation of the top of the fuselage resulting in explosive decompression and severe structural damage. Fflight attendant C.B. Lansing was sucked out of the opening in the fuselage and her body never recovered. The plane named Queen Lili'uokalani, made a safe emergency landing at Kahuiui Airport on Maui. Failure of Aloha Airline's maintenance program to detect the presence of disbonding and fatigue damage which led to failure of the lap joint at S-10L and the separation of the fuselage upper lobe. Contributing factors were the failure of Aloha Airline's management to properly supervise its maintenance crew as well as the failure of the FAA to properly evaluate the Aloha Airlines maintenance program and to assess the airline's inspection and quality control deficiencies. In addition the maintenance program underestimated the need for inspections with the large number of pressurizations/depressurizations and humid salt air climate the plane was subjected to.",95,A1,"near Maui, HI",HI,United States of America
1988-05-06,lnwfn,36,Crashed into a hillside during approach in foggy weather. The crew started the approach to 4NM too early. Navigation error. Pilot error.,36,A1,near BrÃ¸nnÃ¸ysund Ai...,near BrÃ¸nnÃ¸ysund Ai...,near BrÃ¸nnÃ¸ysund Ai...
1988-05-24,n75356,0,The aircraft encountered heavy rain and hail which resulted in flame-out of both engines. Attempts to restart engines were unsuccessful. The aircraft landed safely in a grassy field between a drainage ditch and levee with no power. Water ingestion due to heavy rain from a level 4 thunderstorm caused failure of both engines. A contributing cause of the incident was the inadequate design of the engines and the FAA water ingestion certification standards which did not reflect the waterfall rates that can be expected in moderate or higher intensity thunderstorms.,45,I2,near New Orleans Inte...,near New Orleans Inte...,near New Orleans Inte...
1988-05-26,oyape,2,While landing the cargo plane pitched up for a go-around causing cargo to shift and the plane to lose control and crash.,2,A1,near Hannover Airport...,near Hannover Airport...,near Hannover Airport...
1988-06-12,n1003g,22,The airliner crashed 3 miles short of the runway in poor visibility. Crew's overconfidence and  incorrect in-flight planning.,22,A1,"near Posadas Airport,...",...,...
1988-06-26,fgfkc,3,"The plane was scheduled to perform a series of fly-bys at an air show. The plane was to descend to 100 ft. altitude with landing gear and flaps extended. The automatic go-around protection (Alpha Floor Function) was inhibited for the maneuver. During the maneuver, the plane descended thru 100 ft. to an altitude of 30 feet and hit trees at the end of the runway. The aircraft was totally destroyed by the successive impacts and violent fire which followed. The pilot allowed the aircraft to descend through 100 ft. at slow speed and maximum angle of attack and was late in applying go-around power. Unfamiliarity of the crew with the landing field and lack of planning for the flyby.",136,A1,Mulhouse-Habshei...,Mulhouse-Habshei...,Mulhouse-Habshei...
1988-07-03,epibu,290,"The civilian Iranian airliner was shot down by the U.S. Navy vessel U.S.S. Vincennes with surface-to-air missiles. The Vincennes was protecting other civilian ships in the area from Iranian gunboats. The Vincennes responded to hostile action taking place against a ship by Iranian gun boats. However, orders to the captain were to send a helicopter to investigate but maintain position. In fact, the ship headed towards the hostilities and penetrated 2nm inside Iranian territorial waters and after the helicopter was fired upon, engaged the enemy boats. The ill-fated airliner was delayed in leaving Bandar Abbas because of a problem with the passport of a passenger. Soon after taking off the target appeared on the radar of the Vincennes. Because the plane was late and confusion of time zones, the crew was not expecting an airliner in the area. When the target was first identified, it squawked both 2 (military) and 3 (civilian). The reason for this was the radar tracker ball was left in the vicinity of the Bandar Abbas airport and the radar was picking up both the airliner and a military F-14 jet fighter at the same time. Playing it safe, the plane was misidentified as a F-14 Iranian fighter. The aircraft did not respond to 10 radio challenges from the Vincennes. However, 7 were on military frequencies which the airliner could not pick up. Three were on the civil emergency frequency addressed to the so called military F-14. When the plane was nearing 10 miles from the ship, it was reported to the captain that the aircraft was descending. At that time the surface-to-air missiles were fired destroying the aircraft. At the inquiry computer data showed that the plane was never descending and actually was ascending at a steady rate. Incredibly, a military investigation concluded that although the U.S. government regretted the loss of human life, the captain and crew were not at fault and acted properly in shooting down the airliner.",290,C1,near Qeshm Island,near Qeshm Island,near Qeshm Island
1988-07-20,n33vx,3,The cargo plane ran out of fuel and crashed into a dirt bank . Fuel starvaion. Open drain valve inside the No. 4 engine led to the loss of fuel.,3,A1,"Golden Meadow, LA",LA,LA
1988-07-21,d2tov,6,Crashed on approach.,6,A1,near Lagos-Murtala Mu...,near Lagos-Murtala Mu...,near Lagos-Murtala Mu...
1988-08-02,lzdok,29,"Crashed on takeoff from Sophia airport en route to Varna. Possible crew error. The stabilizer was set in the full ""Down"" position, instead it was supposed to be set between 2.5-3 degrees in ""the Up"" position.",37,A1,Sofia-Vrazhdebna...,Sofia-Vrazhdebna...,Sofia-Vrazhdebna...
1988-08-17,23494,30,"Crashed shortly after taking off from Bahawalpur 60 miles near the Indian border. Act of sabotage. Detonation of a low level explosive device or incapacitating gas. U.S. Ambassador to Pakistan, Arnold Raphel, 45, and Muhammad Zia ul-Haq 64, killed. A recent report states that the accident was caused by the failure of the elevator control system due to a mechanical failure.",30,A1,near Bahawalpur Airpo...,near Bahawalpur Airpo...,near Bahawalpur Airpo...
1988-08-26,cccp67235,4,"The crew failed to set the altimeters to the proper setting while landing. The plane descended until it contacted trees, broke up and caught fire. Crew fatigue was a factor.",4,A1,near Irkutsk Airport ...,near Irkutsk Airport ...,near Irkutsk Airport ...
1988-08-31,xahul,1,Crashed while taking off.,20,A1,MÃ©rida Airport ...,MÃ©rida Airport ...,MÃ©rida Airport ...
1988-08-31,b2218,7,The right outboard flap of the plane hit the approach lights of Runway 31. The right main landing gear collapsed and the aircraft ran off the runway into the harbor.,89,A1,Hong Kong-Kai Ta...,Hong Kong-Kai Ta...,Hong Kong-Kai Ta...
1988-08-31,n473da,14,"The aircraft stalled and crashed during takeoff, hitting a ILS localizer antenna, 1,000 feet beyond the end of the runway. Crew error. Improperly set flaps and slats. Failure of the takeoff safety warning system.",108,A1,Dallas/Fort Wort...,Dallas/Fort Wort...,Dallas/Fort Wort...
1988-08-31,xccox,20,The plane disappeared after taking off from Uruapan. Wreckage was found in the western Sierre Madre mountains.,20,A1,near Arteaga,near Arteaga,near Arteaga
1988-09-09,vna102,76,The aircraft crashed during approach in heavy rain and thunderstorms short of the runway. The crew descended below minimum altitude while over the outer marker. The plane lost height due to a microburst induced windshear when passing under a thunderstorm on final.,90,A1,near Bangkok-Don Muan...,near Bangkok-Don Muan...,near Bangkok-Don Muan...
1988-09-12,hcazy,7,The positioning flight took off with one bad engine. Another engine failed and the plane crashed and burst into flames.,7,A1,Lago Agrio Airpo...,Lago Agrio Airpo...,Lago Agrio Airpo...
1988-09-15,etaja,35,"During takeoff, the aircraft ingested numerous pigeons into both engines. One engine lost thrust almost immediately and the second lost thrust during the emergency return to the airport. The aircraft crashed while trying to land. Engine failure due to ingestion of 10-16 Columba Guinea birds.",104,A1,near Bahar Dar Airpor...,near Bahar Dar Airpor...,near Bahar Dar Airpor...
1988-10-04,cccp11418,6,"The cargo flight crew decided on a visual approach, ignored the GPWS warning and flew into a mountain.",6,A1,near Batagay Airport ...,near Batagay Airport ...,near Batagay Airport ...
1988-10-11,600317,6,Crashed after returning from Sawyer AFB in Michigan.,17,A1,Oscoda-Wurtsmith...,Oscoda-Wurtsmith...,Oscoda-Wurtsmith...
1988-10-17,5xubc,33,"Undershot runway and hit  a building while performing a third landing attempt in fog. The crew's lack of adequate preparation in the procedure for a non-precision approach, especially in crew coordination, altitude callouts and their continued descent beyond MDA without having located the runway visual markings. Crew fatigue.",52,A1,near Roma-Fiumicino A...,near Roma-Fiumicino A...,near Roma-Fiumicino A...
1988-10-19,vtdmc,34,Crashed short of the runway. Controlled flight into terrain.,34,A1,near Gauhati-Borjhar ...,near Gauhati-Borjhar ...,near Gauhati-Borjhar ...
1988-10-25,obr1020,12,Crashed shortly after taking off from Manco Capac airport at Juliaca. The pilot tried to return to the runway but crashed in a high nose-up attitude into a pasture. The plane broke in two and burst into flames.,69,A1,near Juliaca Airport ...,near Juliaca Airport ...,near Juliaca Airport ...
1988-11-02,spltd,1,"The plane attempted to make an emergency landing due to engine failure, struck a ditch and caught fire.",29,A1,near RzeszÃ³w,near RzeszÃ³w,near RzeszÃ³w
1988-11-14,oheba,6,"The aircraft struck trees 2,400 feet next to the runway while approaching in deteriorating weather conditions. A power failure caused all light to go out at the airport.",12,A1,near SeinÃ¤joki-Ilmaj...,near SeinÃ¤joki-Ilmaj...,near SeinÃ¤joki-Ilmaj...
1988-11-18,fgcpg,4,While taking off the nose pitched down the plane descended and crashed to the ground and caught fire. Inadvertent activation of the Stall Avoidance System resulting in the stick pusher activation at a crucial altitude.,4,A1,MontluÃ§on-GuÃ©r...,MontluÃ§on-GuÃ©r...,MontluÃ§on-GuÃ©r...
1988-11-30,5addd,14,While attempting to land in mist and poor visibility the aircraft hit a  pylon and burned. VFR flight in IMC,14,A1,Hamada al Hamra,Hamada al Hamra,Hamada al Hamra
1988-12-07,cccp67127,6,The aircraft struck the ground while the crew was in the base leg turn. Crew procedural errors. The radio altimeter warning was not set and the outer marker was not used during the approach.,14,A1,near Kodinsk Airport,near Kodinsk Airport,near Kodinsk Airport
1988-12-08,n284,5,Accidently struck by a surface-to-air missile by the Polisario.,5,C1,Western Sahara,Western Sahara,Western Sahara
